City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Cockburn Town,TC,21.4612,-71.1419,80.6,69,40,14.97,scattered clouds
108,Lobez,PL,53.6392,15.6213,44.01,79,100,1.99,light rain
109,Clyde River,CA,70.4692,-68.5914,-4.0,84,75,9.22,broken clouds
110,Vaini,TO,-21.2,-175.2,78.8,94,40,8.05,scattered clouds
111,Verkhnyaya Inta,RU,65.9811,60.3094,0.99,99,71,4.38,broken clouds
112,Tongren,CN,27.7172,109.1853,66.0,95,100,2.06,light rain
113,Avarua,CK,-21.2078,-159.775,80.6,78,40,14.97,scattered clouds
114,Ornes,NO,66.8689,13.7078,42.8,56,0,18.41,clear sky
115,Fortuna,US,40.5982,-124.1573,46.4,100,90,10.36,overcast clouds
116,Morrope,PE,-6.5417,-80.0111,80.6,57,0,12.66,clear sky
117,Prince Rupert,CA,54.3161,-130.3201,41.0,80,90,5.75,light snow
118,Karpogory,RU,64.0019,44.4451,30.94,92,95,8.63,overcast clouds
119,Lakeside,US,30.13,-81.7682,87.01,45,40,11.5,scattered clouds
120,Phek,IN,25.6667,94.5,48.15,31,1,1.16,clear sky
121,Vardo,NO,70.3705,31.1107,32.0,86,20,10.36,few clouds
122,Villazon,BO,-22.0866,-65.5942,63.75,42,12,16.53,few clouds
123,Fairbanks,US,64.8378,-147.7164,10.0,66,40,4.61,scattered clouds
124,Sambava,MG,-14.2667,50.1667,77.38,92,100,5.68,moderate rain
125,Tiksi,RU,71.6872,128.8694,1.85,99,100,1.59,overcast clouds
126,Soledad,CO,10.9184,-74.7646,87.8,58,0,17.27,clear sky
127,Ucluelet,CA,48.9329,-125.5528,43.0,93,75,12.66,broken clouds
128,Katsuura,JP,35.1333,140.3,64.99,94,75,12.66,mist
129,Kidal,ML,18.4411,1.4078,79.02,8,0,11.56,clear sky
130,Togur,RU,58.3631,82.8265,27.19,97,100,5.12,overcast clouds
131,Upernavik,GL,72.7868,-56.1549,-16.58,78,31,2.57,scattered clouds
132,Aykhal,RU,66.0,111.5,12.9,99,99,5.39,overcast clouds
133,Nikolskoye,RU,59.7035,30.7861,42.01,81,100,4.47,light rain
134,Labuhan,ID,-6.8844,112.2051,78.08,88,100,4.29,overcast clouds
135,Gigmoto,PH,13.7796,124.39,78.94,84,100,6.13,overcast clouds
136,Bay Roberts,CA,47.5999,-53.2648,30.99,64,99,4.0,overcast clouds
137,Oksfjord,NO,70.2396,22.3479,37.4,65,75,4.61,broken clouds
138,Evensk,RU,61.95,159.2333,-10.86,89,96,4.16,overcast clouds
139,Balkanabat,TM,39.5108,54.3671,46.22,65,2,8.1,clear sky
140,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,0,5.75,clear sky
141,Half Moon Bay,US,37.4636,-122.4286,68.0,59,1,4.61,clear sky
142,Madarounfa,NE,13.3087,7.156,86.0,10,0,9.22,dust
143,Hay River,CA,60.8156,-115.7999,14.0,85,90,12.66,snow
144,Saint George,US,37.1041,-113.5841,66.99,33,1,4.61,clear sky
145,Airai,TL,-8.9266,125.4092,60.28,95,100,2.21,overcast clouds
146,Buin,CL,-33.7333,-70.75,80.6,21,0,6.91,clear sky
147,Uarini,BR,-2.99,-65.1083,77.0,88,75,11.5,broken clouds
148,Pevek,RU,69.7008,170.3133,-22.4,100,63,0.85,broken clouds
149,Ilhabela,BR,-23.7781,-45.3581,81.63,77,55,3.67,broken clouds
150,Sorland,NO,67.667,12.6934,41.0,65,0,17.27,clear sky
151,Adrar,MR,20.5022,-10.0711,87.42,7,100,6.78,overcast clouds
