City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,Bengkulu,ID,77.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
80,Port Alfred,ZA,66.29,overcast clouds,-33.5906,26.891,The Halyards Hotel
82,Lorengau,PG,81.88,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
85,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
86,Ahipara,NZ,66.15,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
87,Colares,PT,71.6,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
89,Bredasdorp,ZA,62.6,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
92,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
95,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
96,Hilo,US,66.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
97,Namatanai,PG,78.76,light rain,-3.6667,152.4333,Namatanai Hotel
99,Bandarbeyla,SO,79.03,clear sky,9.4942,50.8122,JABIR HOTEL
101,Khash,IR,70.97,broken clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
104,Santa Cruz,BO,78.8,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
106,Kruisfontein,ZA,64.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
107,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
110,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
112,Tongren,CN,66.0,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
113,Avarua,CK,80.6,scattered clouds,-21.2078,-159.775,Paradise Inn
116,Morrope,PE,80.6,clear sky,-6.5417,-80.0111,Hipolito santamaria
122,Villazon,BO,63.75,few clouds,-22.0866,-65.5942,La Candelaria
124,Sambava,MG,77.38,moderate rain,-14.2667,50.1667,Melrose
128,Katsuura,JP,64.99,mist,35.1333,140.3,Katsuura Hotel Mikazuki
129,Kidal,ML,79.02,clear sky,18.4411,1.4078,
134,Labuhan,ID,78.08,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
135,Gigmoto,PH,78.94,overcast clouds,13.7796,124.39,Cj's Travellers Inn
140,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
141,Half Moon Bay,US,68.0,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
144,Saint George,US,66.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
145,Airai,TL,60.28,overcast clouds,-8.9266,125.4092,Juvinal Martin
146,Buin,CL,80.6,clear sky,-33.7333,-70.75,Paihuen
147,Uarini,BR,77.0,broken clouds,-2.99,-65.1083,
149,Ilhabela,BR,81.63,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
153,Beloha,MG,71.49,few clouds,-25.1667,45.05,
156,Jertih,MY,78.8,few clouds,5.7336,102.4897,One Utama Hotel
158,Santa Cruz De Tenerife,ES,66.99,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
160,Kavieng,PG,82.67,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
162,Ishigaki,JP,76.41,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
164,George,ZA,60.8,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
165,Sola,VU,82.29,few clouds,-13.8833,167.55,Leumerus Bungalows
166,Copiapo,CL,68.0,clear sky,-27.3667,-70.3333,San Francisco de La Selva
168,Umm Lajj,SA,73.18,few clouds,25.0213,37.2685,Moon light Furnished Units
173,San Quintin,MX,71.56,clear sky,30.4833,-115.95,Old Mill Hotel
174,Mora,CM,84.36,clear sky,11.0461,14.1401,Hotel Emergence
177,Los Llanos De Aridane,ES,68.0,scattered clouds,28.6585,-17.9182,Valle Aridane
180,Constitucion,CL,68.38,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
181,Cananea,MX,64.99,clear sky,30.95,-110.3,Casas Montoya
183,Puerto Leguizamo,CO,78.53,overcast clouds,-0.1934,-74.7819,la casona de juancho
184,Alyangula,AU,81.68,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
185,Levelland,US,66.99,clear sky,33.5873,-102.37799999999999,Holiday Inn Express & Suites Levelland
186,Shreveport,US,70.0,clear sky,32.5251,-93.7502,Eldorado Resort Casino Shreveport
187,Pasian,PH,72.75,moderate rain,7.9281,126.0672,
192,Luwuk,ID,77.49,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
194,Praia,CV,73.4,scattered clouds,14.9215,-23.5087,LT Aparthotel
